user,event,outcome,dist
1776192,2877501688,0.0,-1.08200774492
1776192,3025444328,0.0,-1.08201326755
1776192,4078218285,0.0,-1.08201185752
1776192,1024025121,0.0,-1.08201127
1776192,2972428928,0.0,-1.08201244503
1776192,2514143386,0.0,-1.08201479508
1776192,1823369186,0.0,-1.08201350255
5161061,2027962693,0.0,-1.08201120825
5161061,1652007005,0.0,-1.0820046281
5161061,2169802745,0.0,-1.08201062073
5161061,319129729,0.0,-1.08199863547
5161061,861989233,0.0,-1.08200650814
5161061,1926865450,0.0,-1.08200968071
5161061,3272920269,0.0,-1.08201038573
5161061,1538046875,0.0,-1.08200192554
5161061,737935339,0.0,-1.08200051551
5161061,2098674667,0.0,-1.08200991572
7336598,1980837904,0.0,-1.08201019411
7336598,2428145712,1.0,1.15960686035
7336598,380501274,0.0,-1.08201266166
7336598,1820029797,1.0,1.19626808035
7336598,4125420656,1.0,24.8169286115
7336598,1501679119,1.0,3.43140870751
7514340,507707719,0.0,-1.08201087832
7514340,3841392405,0.0,-1.08201087832
7514340,4134671058,0.0,-1.08201158334
7514340,854823005,0.0,-1.08201029081
7514340,2696649330,0.0,-1.08201146584
7514340,901144614,0.0,-1.08201087832
15390083,907302600,1.0,9.72248733798
15390083,2643833505,1.0,11.0052984488
15390083,1361307272,1.0,4.77798188384
15390083,955398943,1.0,47.4448896923
15390083,771676713,1.0,18.0380818121
15390083,633659090,1.0,6.19328598119
15390083,2529072432,1.0,33.2298099097
16454810,968434069,0.0,-1.08202885319
16454810,2006570293,0.0,-1.08202932321
16454810,761140108,0.0,-1.08202932321
16454810,589257919,0.0,-1.08203496333
16454810,1779618386,0.0,-1.08202356558
16454810,665321720,0.0,-1.08202955821
18236457,3214494361,0.0,-1.08201232125
18236457,3004007968,0.0,-1.08201279126
18236457,452781702,0.0,-1.08201420129
18236457,2077156568,0.0,-1.08201290876
18236457,1703679230,0.0,-1.08201478881
18236457,3553950281,0.0,-1.08201314377
18236457,2353399295,0.0,-1.08201337877
20018153,3592182997,0.0,-1.98642861273
20018153,3583332424,0.0,-1.08201296388
20018153,2053692105,0.0,-1.08200697125
20018153,2410772923,0.0,-1.08201049633
20018153,63412025,0.0,-1.08201131885
20018153,464565286,0.0,-1.0820089688
23465780,2529072432,1.0,33.2298135562
23465780,3017074183,0.0,-1.08201793495
23465780,602394192,1.0,2.08247707798
23465780,955398943,1.0,47.4448933388
23465780,3807695143,0.0,-1.08202334007
23465780,2414358105,0.0,-1.08202193004
23465780,1600413013,1.0,29.4295916482
30355949,2860418664,0.0,-1.17200483328
30355949,438768882,0.0,-1.08201869553
30355949,4294209504,0.0,-1.08201669798
30355949,1773230862,0.0,-1.08201681549
30355949,3404987729,0.0,-0.827963120441
30355949,661460159,0.0,-1.08201951805
30355949,955398943,1.0,47.4446749549
33509612,794450376,0.0,-1.0820128186
33509612,4203627753,1.0,13.1467956073
33509612,2668074570,0.0,-1.08201105606
33509612,966971643,1.0,6.83450133759
33509612,2428145712,1.0,1.23943656629
33509612,1860511950,0.0,-1.08201117356
35565661,378408397,0.0,-1.08201251512
35565661,652541886,0.0,-1.0820116926
35565661,2139975650,0.0,-1.08201780273
35565661,3655418763,0.0,-1.08201251512
35565661,275437483,0.0,-1.08201333763
35565661,2036167774,0.0,-1.08201380765
37106093,3306999925,0.0,-1.082021182
37106093,2692070381,0.0,-1.08202071197
37106093,2198898969,0.0,-1.08201801599
37106093,1617391894,0.0,-1.08201354433
37106093,3336783567,0.0,-1.08201424934
37106093,3931717290,0.0,-1.08201659939
37106093,4096532695,0.0,-1.08202165201
38395056,200617654,0.0,-1.08202187572
38395056,1580455386,0.0,-1.08201964317
38395056,3252432592,1.0,1.32789468474
38395056,677485601,1.0,1.32789574226
38395056,1278585786,0.0,-1.08201940816
38395056,3415281246,0.0,-1.08201952567
43826519,4292059849,0.0,-1.08201455739
43826519,1788874248,0.0,-1.08201361737
43826519,605300738,0.0,-1.08201408738
43826519,4229681081,0.0,-1.08200926977
43826519,4205267137,0.0,-1.08200644971
43826519,680476316,0.0,-1.08201349986
43826519,2378630297,0.0,-1.08201373487
43965236,2725164213,0.0,-1.08202058507
43965236,4082601014,0.0,-0.7876832093
43965236,3395117104,1.0,1.97150614637
43965236,228340462,1.0,4.28901111583
43965236,1900273727,1.0,1.53319219543
43965236,2923175068,0.0,-0.7876787442
43965236,559618821,1.0,7.04979511229
43965236,2806565970,1.0,1.9707354331
48222018,758289588,0.0,-1.08201526312
48222018,2163997791,0.0,-1.08201643815
48222018,496131340,0.0,-1.08201851111
48222018,2489566262,0.0,-1.08201620314
48222018,2347297427,0.0,-1.08201761318
50521271,1927775201,0.0,-1.08201529359
50521271,1667438718,1.0,1.66681638643
50521271,3211023626,0.0,-1.08201282604
50521271,1070478164,0.0,-1.08201341355
50521271,1570912780,0.0,-1.08201447108
50521271,982322965,0.0,-1.08201317855
57783108,3275248026,1.0,1.78674699219
57783108,2355400133,0.0,-1.08202791685
57783108,2529072432,1.0,33.2275590664
57783108,2860418664,0.0,-1.17205223745
57783108,1082833698,0.0,-1.08202732933
57783108,1858978872,0.0,-1.0820258018
57783108,1872379613,0.0,-1.08202168921
57783108,1143513079,0.0,-1.08202615431
57783108,1600413013,1.0,29.4299009126
57783108,3735036412,1.0,4.46592180662
57783108,861118590,1.0,5.6825549967
65116502,1966347593,0.0,-0.783814745969
65116502,4227721355,0.0,-1.08202118254
65116502,2810232094,0.0,-1.08202083003
65116502,1467809542,0.0,-1.08201824497
65116502,894829625,0.0,-1.08202588264
65116502,4264661415,0.0,-1.98642402359
67355582,2975829844,0.0,-1.08201336587
67355582,3022995002,0.0,-1.08201618593
67355582,2740101266,0.0,-1.08201395338
67355582,1183309937,0.0,-1.08201689095
67355582,3218113289,0.0,-1.08204415156
67355582,3611646220,0.0,-1.08201277836
67355582,3501300823,0.0,-1.08201524591
71092144,3735036412,1.0,4.46592718082
71092144,3494003218,0.0,-1.08202195513
71092144,1458428999,0.0,-1.0820204276
71092144,3676729604,0.0,-1.08201866506
71092144,289899674,0.0,-1.08202125011
71092144,1319656469,0.0,-1.08202125011
73830292,2051603944,0.0,-1.08201835951
73830292,3199229320,0.0,-1.08201753699
73830292,3790866767,0.0,-1.0820222371
73830292,1613671569,0.0,-1.0820178895
73830292,130493588,0.0,-1.08201730199
73830292,4242816413,1.0,0.174985895683
74368740,3886183264,0.0,-1.08201164797
74368740,435473446,0.0,-1.08201270549
74368740,1801175686,0.0,-1.08201247048
74368740,2090317215,0.0,-1.08201446803
74368740,73584564,0.0,-1.08201399802
74368740,11077318,0.0,-1.08201282299
74504185,2643833505,1.0,40.551124955
74504185,633659090,1.0,46.7356181793
74504185,771676713,1.0,39.8169911214
74504185,1148012652,1.0,4.33716273823
74504185,1361307272,1.0,44.648432962
74504185,2529072432,1.0,220.078388526
74504185,907302600,1.0,54.1725930329
74504185,955398943,1.0,269.458744486
74504185,278651783,0.0,-1.08202037588
75001773,2621315686,0.0,-0.584621910931
75001773,10609218,0.0,-1.08201738686
75001773,1716470668,1.0,0.723505023182
75001773,1902753965,1.0,2.19781987839
75001773,1892018889,0.0,-0.088807627311
75436593,1047967283,0.0,-1.9864330954
75436593,997929928,0.0,-1.67803210929
75436593,3033694655,0.0,-1.98643532795
75436593,4172382349,0.0,-1.98643861802
75436593,2653923514,0.0,-1.08201298145
75436593,934970634,0.0,-1.082014979
76313799,1203717384,1.0,1.28741347153
76313799,673098017,0.0,-1.08201113628
76313799,1269035551,1.0,3.93548283684
76313799,268233790,1.0,2.47025563273
76313799,2642707561,0.0,-0.788935393716
76313799,2149464820,1.0,3.64196179249
76313799,1469291456,0.0,-1.08201090127
77627621,3826292515,0.0,-1.08201361432
77627621,724969489,0.0,-1.08183653787
77627621,3258757385,0.0,-1.08200985423
77627621,4269687196,0.0,-1.0820127918
77627621,3258757385,0.0,-1.08200985423
77627621,2429151401,0.0,-1.08201666939
80365330,559618821,1.0,2.38847411662
80365330,3302719635,1.0,1.9337139282
80365330,218221722,1.0,1.62609839455
80365330,514153585,0.0,-1.08201704995
80365330,2431677639,0.0,-1.08201704995
80365330,2806565970,1.0,7.6026888052
81053968,1767325091,0.0,-1.08201445118
81053968,1544421101,0.0,-1.98643315509
81053968,3289683998,0.0,-1.08201856377
81053968,2153037761,1.0,25.0171274367
81053968,2465528861,0.0,-1.08201762375
81053968,3963798906,0.0,-1.08201456868
87299174,4002798045,0.0,-0.367769280955
87299174,1271330281,0.0,-1.08201649219
87299174,3819567837,0.0,-1.08201543467
87299174,3789029184,0.0,-0.590314165554
87299174,3680209340,0.0,-1.0820257749
92401917,949540452,0.0,-1.08201019796
92401917,3472004495,0.0,-1.08201337053
92401917,1423412400,0.0,-1.08201266551
92401917,2823343043,0.0,-0.147079665309
92401917,693857041,0.0,-1.082012078
92401917,2108188468,0.0,-1.08201313552
93148987,1600413013,1.0,46.6008819459
93148987,2382247676,0.0,-1.08201767036
93148987,3326401128,0.0,-1.08201720035
93148987,2235632935,0.0,-1.08201649533
93148987,955398943,1.0,87.1982888238
93148987,518477191,0.0,-1.0820194329
93148987,602394192,1.0,7.12507663084
94142526,990256291,0.0,-0.229766184865
94142526,1545194399,0.0,-1.08203747174
94142526,551112142,0.0,-1.08201585126
94142526,1356197621,0.0,-0.502068983872
94142526,873255426,0.0,-1.08201667378
94142526,2757258727,0.0,-0.503311200217
94142526,467130966,0.0,-0.348929843052
96920130,1241270051,1.0,9.81227466221
96920130,2628680570,0.0,-1.08201739601
96920130,1776393554,0.0,-0.782518593326
96920130,450130761,0.0,-1.08201826477
96920130,615488222,0.0,-1.08201819286
96920130,2429675854,0.0,-1.08201861728
97062150,3950589515,1.0,4.59230636299
97062150,268233790,1.0,4.3646259192
97062150,3849306291,1.0,28.8485668377
97062150,2007279414,1.0,1.90538315386
97062150,2073609284,1.0,14.2766047736
97062150,2498491194,1.0,61.5428337761
99141124,2724941310,0.0,-1.08201790321
99141124,392383010,0.0,-1.08201285059
99141124,2803078645,0.0,-1.08202988847
99141124,3488277311,0.0,-1.08201390812
99141124,2953583082,0.0,-1.08201191057
99141124,3180156897,0.0,-1.08202507087
99141124,299139894,0.0,-1.08201449563
103955826,178831464,0.0,-1.08202030669
103955826,3726270158,0.0,-1.08202018918
103955826,2643833505,1.0,11.0056774664
103955826,424521338,0.0,-1.08202042419
103955826,3581275802,1.0,2.11637212848
103955826,3949611603,0.0,-1.08202007168
103955826,2130616732,1.0,10.5750718161
105347632,2679521343,0.0,-1.0820144294
105347632,3525619764,0.0,-1.08201290186
105347632,3376050735,0.0,-1.08201290186
105347632,1767661989,0.0,-1.08201254935
105347632,2257585691,0.0,-1.08201254935
105347632,1558280207,0.0,-1.08201325437
105347632,3892571955,0.0,-1.08201337187
105347632,738076221,0.0,-1.08201360688
105347632,2182496817,0.0,-1.08201290186
105347632,2626832189,0.0,-1.08198904883
105347632,366857842,0.0,-1.08201301937
105347632,2708627209,0.0,-1.08201207934
105347632,186107339,0.0,-1.08201254935
105347632,4001241592,0.0,-1.08201266686
109457319,426902061,0.0,-1.08200154158
109457319,1044854627,0.0,-1.0450992405
109457319,2776566965,0.0,-0.574348629561
109457319,3632072502,1.0,0.113030607493
109457319,1832462541,0.0,-0.574427912411
109457319,955398943,1.0,59.097095636
109457319,1532377761,1.0,12.7501202842
109457319,1600413013,1.0,33.0859887947
110128780,3565166403,1.0,1.78648327656
