invited,user_reco,evt_p_reco,evt_c_reco,user_pop,frnd_infl,evt_pop,interested,not_interested
0,0.0,0.980096976659,0.980096976659,0.000231013912558,0.0,-3.91087799211e-05,0,0
0,0.0,0.182186117328,0.182186117328,0.000231013912558,0.0,1.84041317276e-05,0,0
0,144.074173961,-1.0,-1.0,0.000231013912558,0.0,0.000172538734946,1,0
0,0.0,1.17501899955,1.17501899955,0.000231013912558,0.0,1.61036152616e-05,0,0
0,32.8711143817,2.23939890409e-07,2.23939890409e-07,0.000231013912558,0.0,6.44144610465e-05,0,0
0,41.9257026036,2.01518246867e-07,2.01518246867e-07,0.000231013912558,0.0,0.000234652679527,0,0
0,0.0,1.70767512001,1.70767512001,0.000159726556711,0.0,1.61036152616e-05,0,0
0,4.47592588397,0.169797196278,0.169797196278,0.000159726556711,0.0,0.000565927050623,1,0
0,2.42325298557,-0.414712123924,-0.414712123924,0.000159726556711,0.0,0.00121467269402,1,0
0,0.238675054536,1.70767511991,1.70767511991,0.000159726556711,0.0,-1.38030987957e-05,0,0
0,2.20075061486e-06,-0.415488123365,-0.415488123365,0.000159726556711,0.0,5.98134281146e-05,1,0
0,0.0,1.70767512001,1.70767512001,0.000159726556711,0.0,-5.75129116487e-05,0,0
0,1.68963618831,0.583873323577,0.583873323577,0.000159726556711,0.0,0.000230051646595,0,0
0,0.0,-1.0,-1.0,7.63793098366e-05,0.0,0.000257657844186,1,0
0,0.0,-2.22044604925e-16,-2.22044604925e-16,7.63793098366e-05,0.0,-8.05180763081e-05,0,0
0,0.0,-2.22044604925e-16,-2.22044604925e-16,7.63793098366e-05,0.0,5.98134281146e-05,0,0
0,0.0,-2.22044604925e-16,-2.22044604925e-16,7.63793098366e-05,0.0,1.84041317276e-05,0,0
0,0.0,0.602451917293,0.602451917293,7.63793098366e-05,0.0,1.15025823297e-05,0,0
0,1.64794456013,-2.22044604925e-16,-2.22044604925e-16,7.63793098366e-05,0.0,-5.52123951827e-05,0,0
0,0.0,1.11022302463e-16,1.11022302463e-16,1.52758619673e-05,0.0,4.60103293189e-06,0,0
0,0.0,0.725261633777,0.725261633777,1.52758619673e-05,0.0,8.97201421719e-05,0,0
0,0.0,1.11022302463e-16,1.11022302463e-16,1.52758619673e-05,0.0,3.68082634551e-05,0,0
0,0.0,-1.0,-1.0,1.52758619673e-05,0.0,1.15025823297e-05,1,0
0,0.0,0.786476437044,0.786476437044,1.52758619673e-05,0.0,1.15025823297e-05,0,0
0,0.0,1.11022302463e-16,1.11022302463e-16,1.52758619673e-05,0.0,2.76061975914e-05,0,0
